id,full_text,posted_by,created_at,checked_at
1528692573174235136,"President Joe Biden said Monday that the U.S. would intervene militarily if China were to invade Taiwan, saying the burden to protect Taiwan is ""even stronger' after Russia's invasion of Ukraine. https://t.co/I2JX5sBrtC",newsmax,2022-05-23 11:01:25+00:00,2022-05-23 11:01:30.107751+00:00
1528692573174235136,"President Joe Biden said Monday that the U.S. would intervene militarily if China were to invade Taiwan, saying the burden to protect Taiwan is ""even stronger' after Russia's invasion of Ukraine. https://t.co/I2JX5sBrtC",newsmax,2022-05-23 11:01:25+00:00,2022-05-23 11:01:30.107751+00:00
1528692470304935937,Study Finds Most Effective Method Of Overcoming Procrastination Having Overseer Beat You Whenever You Stop Working https://t.co/VQkiXVGUdg https://t.co/VtysqSiQiU,TheOnion,2022-05-23 11:01:01+00:00,2022-05-23 11:01:30.107753+00:00
1528692470304935937,Study Finds Most Effective Method Of Overcoming Procrastination Having Overseer Beat You Whenever You Stop Working https://t.co/VQkiXVGUdg https://t.co/VtysqSiQiU,TheOnion,2022-05-23 11:01:01+00:00,2022-05-23 11:01:30.107753+00:00
1528692392693489664,"China is well-known for its populous land and abundant history. Its language is considered the oldest and the most spoken around the world. No wonder, Chinese language is extending its popularity, heading today towards an even more important position.

https://t.co/HHKHdlfd25",polilingua,2022-05-23 11:00:42+00:00,2022-05-23 11:01:36.326946+00:00
1528692392353615872,"#OpenComment China's people-centered #humanrights protection approach is suitable for the country's development, and it has no interest in emulating Western nations in this regard.  https://t.co/k55VBQF42V",ChinaDaily,2022-05-23 11:00:42+00:00,2022-05-23 11:01:36.573193+00:00
1528692371411587072,Exclusive: China quietly increases purchases of low-priced Russian oil https://t.co/DdKxTcMVCu #supplychain #logistics,LogisticsMatter,2022-05-23 11:00:37+00:00,2022-05-23 11:01:36.610734+00:00
1528692367083163648,"Breaking news: President Biden said the U.S. would defend Taiwan militarily if China invaded, appearing to step away from a policy of “strategic ambiguity.” https://t.co/tSqWNtucPI",poorkelly,2022-05-23 11:00:36+00:00,2022-05-23 11:01:36.645878+00:00
1528692351807651840,"#GongJun takes the cover of L’Officiel Hommes China - June 2022 issue 

Full spread - https://t.co/UmAQXD6uN1 https://t.co/EnSgijwswx",CANDYTAFFYYY,2022-05-23 11:00:33+00:00,2022-05-23 11:01:36.683249+00:00
1528692339304038401,JUST IN: President Joe Biden says the U.S. would intervene to defend Taiwan in any attack from China https://t.co/JJ1phGj5QB https://t.co/DDxNAcEWqj,AnitaPadilla32,2022-05-23 11:00:30+00:00,2022-05-23 11:01:36.758576+00:00
1528692315791175680,"#GongJun takes the cover of L’Officiel China - June 2022 issue 

Full spread - https://t.co/kWj4U8V0np https://t.co/r2K5ks80gI",CANDYTAFFYYY,2022-05-23 11:00:24+00:00,2022-05-23 11:01:36.791443+00:00
1528692382597795842,"US #naturalgas price spikes as demand from Europe grows - Natural gas prices in the United States have hit a 13-year high, partly due to Europe's demand for alternative #energy sources in the wake of Russia's invasion of Ukraine. #NGW
Read more 👉 https://t.co/pDPzkFB8e6",NatGasAmericas,2022-05-23 11:00:40+00:00,2022-05-23 11:01:36.858829+00:00
1528692366403686405,"Germany slashes the cost of using trains, trams and buses to encourage people to ditch their cars and save energy amid Europe's standoff with Russia https://t.co/eQzAANy18w",frankmueller101,2022-05-23 11:00:36+00:00,2022-05-23 11:01:36.969413+00:00
1528692335927734273,"Court sentences Russian soldier Vadim Shishimarin to life in prison for killing a Ukrainian civilian, in the first war crimes trial since #Russia’s invasion https://t.co/jyvTDxnf2q https://t.co/0lpqDCYo21",arabnews,2022-05-23 11:00:29+00:00,2022-05-23 11:01:37.081632+00:00
1528692333230817280,"Russia's chief propagandist Vladimir Soloviev shares a message that helps clarify what is already obvious. Russia is waging war to occupy Ukraine and eliminate Ukrainian statehood, ""liberating it from German, Anglo-Saxon and Jewish colonizers"" https://t.co/cMkMfbsl7n",edgeoforever,2022-05-23 11:00:28+00:00,2022-05-23 11:01:37.150685+00:00
1528692778640674817,"A security guard was killed in the early hours of Monday inside the Qatar Embassy in Paris in an incident that does not appear to have any links to terrorism, a source close to the investigation said.
 https://t.co/E1Wy5rU9IG",newsmax,2022-05-23 11:02:14+00:00,2022-05-23 11:07:06.633984+00:00
1528693669145894912,"Three doses of Pfizer’s COVID-19 vaccine offer strong protection for children younger than 5, the company announced Monday. Pfizer plans to give the data to U.S. regulators later this week in a step toward letting the littlest kids get the shots.

 https://t.co/tgv76nGZFX",newsmax,2022-05-23 11:05:47+00:00,2022-05-23 11:07:06.634045+00:00
1528693265909702657,"A large number of North Koreans including leader Kim Jong Un attended a funeral for a top official, state media reported Monday, as the country maintained the much-disputed claim that its suspected coronavirus outbreak is subsiding. https://t.co/RzXPhExIwv",newsmax,2022-05-23 11:04:10+00:00,2022-05-23 11:07:06.634000+00:00
1528692778640674817,"A security guard was killed in the early hours of Monday inside the Qatar Embassy in Paris in an incident that does not appear to have any links to terrorism, a source close to the investigation said.
 https://t.co/E1Wy5rU9IG",newsmax,2022-05-23 11:02:14+00:00,2022-05-23 11:07:06.633984+00:00
1528693105779560448,"Fly me to the Moon: US, Japan aim for lunar landing https://t.co/rml4i3Cr3R",realTuckFrumper,2022-05-23 11:03:32+00:00,2022-05-23 11:07:06.634010+00:00
1528692778640674817,"A security guard was killed in the early hours of Monday inside the Qatar Embassy in Paris in an incident that does not appear to have any links to terrorism, a source close to the investigation said.
 https://t.co/E1Wy5rU9IG",newsmax,2022-05-23 11:02:14+00:00,2022-05-23 11:07:06.634017+00:00
1528693076796899329,A leading adviser to the World Health Organization described the unprecedented outbreak of the rare disease monkeypox in developed countries as “a random event” that might be explained by risky sexual behavior at two recent mass events in Europe. https://t.co/E8TTByWYUI,newsmax,2022-05-23 11:03:25+00:00,2022-05-23 11:07:06.634034+00:00
1528692892445065216,News network that exists solely to lobby for billionaire's interests shocked to learn it is out of touch with the common man,chaser,2022-05-23 11:02:41+00:00,2022-05-23 11:07:06.634052+00:00
1528692609597644801,"The progressive push to oust the last anti-abortion House Democrat, explained https://t.co/gCYnFYQ3e5",realTuckFrumper,2022-05-23 11:01:34+00:00,2022-05-23 11:07:06.633998+00:00
1528692609597644801,"The progressive push to oust the last anti-abortion House Democrat, explained https://t.co/gCYnFYQ3e5",realTuckFrumper,2022-05-23 11:01:34+00:00,2022-05-23 11:07:06.633998+00:00
1528693265909702657,"A large number of North Koreans including leader Kim Jong Un attended a funeral for a top official, state media reported Monday, as the country maintained the much-disputed claim that its suspected coronavirus outbreak is subsiding. https://t.co/RzXPhExIwv",newsmax,2022-05-23 11:04:10+00:00,2022-05-23 11:07:06.634000+00:00
1528693463411134464,"Ukrainian President Volodymyr Zelenskyy called for “maximum” sanctions against Russia during a virtual speech on the first day of the World Economic Forum gathering of corporate executives, government officials and other VIPs in Davos, Switzerland.

 https://t.co/zCM5p54vyL",newsmax,2022-05-23 11:04:58+00:00,2022-05-23 11:07:06.634044+00:00
1528693105779560448,"Fly me to the Moon: US, Japan aim for lunar landing https://t.co/rml4i3Cr3R",realTuckFrumper,2022-05-23 11:03:32+00:00,2022-05-23 11:07:06.634010+00:00
1528693076796899329,A leading adviser to the World Health Organization described the unprecedented outbreak of the rare disease monkeypox in developed countries as “a random event” that might be explained by risky sexual behavior at two recent mass events in Europe. https://t.co/E8TTByWYUI,newsmax,2022-05-23 11:03:25+00:00,2022-05-23 11:07:06.634040+00:00
1528693105779560448,"Fly me to the Moon: US, Japan aim for lunar landing https://t.co/rml4i3Cr3R",realTuckFrumper,2022-05-23 11:03:32+00:00,2022-05-23 11:07:06.634023+00:00
1528692778640674817,"A security guard was killed in the early hours of Monday inside the Qatar Embassy in Paris in an incident that does not appear to have any links to terrorism, a source close to the investigation said.
 https://t.co/E1Wy5rU9IG",newsmax,2022-05-23 11:02:14+00:00,2022-05-23 11:07:06.634017+00:00
1528693669145894912,"Three doses of Pfizer’s COVID-19 vaccine offer strong protection for children younger than 5, the company announced Monday. Pfizer plans to give the data to U.S. regulators later this week in a step toward letting the littlest kids get the shots.

 https://t.co/tgv76nGZFX",newsmax,2022-05-23 11:05:47+00:00,2022-05-23 11:07:06.634030+00:00
1528693105779560448,"Fly me to the Moon: US, Japan aim for lunar landing https://t.co/rml4i3Cr3R",realTuckFrumper,2022-05-23 11:03:32+00:00,2022-05-23 11:07:06.634023+00:00
