id,full_text,posted_by,created_at,checked_at
1528692373575852032,"According to UN agency, almost 1 billion people in lower-income countries are still not vaccinated. https://t.co/RcScw559Eg",CBCNews,2022-05-23 11:00:38+00:00,2022-05-23 11:01:30.107734+00:00
1528692365241856001,Ukraine court jails Russian soldier for life in war crimes trial https://t.co/VKMPKvkBED https://t.co/PYrZKjGESD,Reuters,2022-05-23 11:00:36+00:00,2022-05-23 11:01:30.107747+00:00
1528692457675841536,#BREAKING Pfizer Covid vaccine for under-fives effective with three doses: company https://t.co/Lf5YVilHwD,AFP,2022-05-23 11:00:58+00:00,2022-05-23 11:01:30.107748+00:00
1528692468149010432,Biden administration races to salvage Summit of Americas in Los Angeles https://t.co/xljOQtJFwT,latimes,2022-05-23 11:01:00+00:00,2022-05-23 11:01:30.107750+00:00
1528692347160215552,Analysis: S.Korea's Yoon uses Biden summit as springboard for global agenda as China looms https://t.co/URcDIGfrmm https://t.co/y1N9lm00op,ReutersAsia,2022-05-23 11:00:31+00:00,2022-05-23 11:01:36.720909+00:00
1528692314129956864,The U.S. traditionally has avoided making such an explicit security guarantee to Taiwan. It was one of the most forceful presidential statements in support of self-governing in decades.  https://t.co/TL8Hs2Tyor,fox32news,2022-05-23 11:00:24+00:00,2022-05-23 11:01:36.824732+00:00
1528692379393433602,"⚡️UK: Russia’s death toll during 3 months in Ukraine same as during 9-year Afghanistan war. 

The combination of poor tactics, limited air cover, and a command approach that reinforces failure led to Russia’s increasing losses in Ukraine, the U.K. Defense Ministry said.",ClubCabeza,2022-05-23 11:00:39+00:00,2022-05-23 11:01:36.894719+00:00
1528692371126378497,"Three months after Russia invaded Ukraine, many ordinary Russians are reeling from unprecedented Western sanctions and the exodus of many international companies. One expert says a summer of economic misery could be coming for Russians. https://t.co/Hkh4QHZA5Q",KevinOlivasMedi,2022-05-23 11:00:37+00:00,2022-05-23 11:01:36.932475+00:00
1528692364071534592,"Russia's war in Ukraine has driven the number of forcibly displaced people around the world above 100 million for the first time ever, the UN's Refugee Agency has said https://t.co/RUMQt9y1tl",The_NewArab,2022-05-23 11:00:35+00:00,2022-05-23 11:01:37.005518+00:00
1528692358656794624,"The frenzied activity of the housing market means that affordability is a growing concern. As the Russia-Ukraine conflict progresses and inflation continues to threaten households, @CrowdPropertyUK reviews the latest commentary.

Read more on our blog: https://t.co/oGjJiC8QQT",CrowdPropertyUK,2022-05-23 11:00:34+00:00,2022-05-23 11:01:37.045618+00:00
1528692333667024898,"Civilian killings have soared since Russian mercenaries landed in Mali. 

And profits flow back to Moscow, helping prop up Putin's assault on Ukraine. 

Our latest on the Wagner Group's troubling moves — with @jonswaine and @joyceslee: 
https://t.co/waDACooKy2",nickturse,2022-05-23 11:00:28+00:00,2022-05-23 11:01:37.115536+00:00
1528692325085548544,"Remarkable rebranding of Russian House at World Economic Forum in Davos as ""Russian War Crimes House"". Meanwhile, Russia recently fell to 7 from 4 on Forbes list of cities with most billionaires as Putin's war erases huge chunk of net worth of Russia's usual Davos delegation... https://t.co/dADbEQi9fr",fulelo,2022-05-23 11:00:26+00:00,2022-05-23 11:01:37.184938+00:00
1528693499360645123,"Mr Musk has claimed that much higher than 20% of accounts on Twitter could be ""fake/spam"" and said that his offer to acquire the company was based on Twitter's own reports being accurate https://t.co/Tj6OGAObbA",SkyNews,2022-05-23 11:05:06+00:00,2022-05-23 11:07:06.633963+00:00
1528693614200725505,Clearview AI Fined $9.4 Million In U.K. For Illegal Facial Recognition Database https://t.co/uosJKlpMXR https://t.co/ur8Q4Y0uvA,Forbes,2022-05-23 11:05:34+00:00,2022-05-23 11:07:06.633974+00:00
1528693762444107776,"""We're going to put our arms around people just as did through the pandemic.""

PM Boris Johnson reiterates 'no option is off the table' when it comes to supporting people during the cost of living crisis, but admits he 'doesn't like new taxes'.

https://t.co/epp7ThaNvM https://t.co/uwlCjq3XGJ",SkyNews,2022-05-23 11:06:09+00:00,2022-05-23 11:07:06.633975+00:00
1528692989861761025,Liberia has a rising surf scene attracting tourists from all over the world -- and inspiring locals too. https://t.co/Mz6o8tkm6C,cnni,2022-05-23 11:03:05+00:00,2022-05-23 11:07:06.633980+00:00
1528693583578120196,"West should have backed Ukraine back in 2014, President Zelenskyy tells Davos elite https://t.co/kQgdnWybZM",CNBC,2022-05-23 11:05:26+00:00,2022-05-23 11:07:06.633982+00:00
1528693219688599552,‘I feel totally seen’: John Crace on how guided breathing soothed a lifetime of anxiety https://t.co/SECcBHMjnY,guardian,2022-05-23 11:03:59+00:00,2022-05-23 11:07:06.633995+00:00
1528693556994523136,Explainer: Do claims against Musk raise a legal issue for his companies and Twitter deal? https://t.co/nh5zSjOUmD https://t.co/fPwZq1Dbou,Reuters,2022-05-23 11:05:20+00:00,2022-05-23 11:07:06.633997+00:00
1528692966914764804,"➡️ We’re frequently given mixed messages about which foods are ‘bad’ for us , but you must keep an eye on consumption https://t.co/oaGBsNiGeg",Telegraph,2022-05-23 11:02:59+00:00,2022-05-23 11:07:06.634001+00:00
1528692720889479169,#BREAKING Greece blocks hundreds of migrants from crossing Aegean: Athens https://t.co/to4WCqttsy,AFP,2022-05-23 11:02:01+00:00,2022-05-23 11:07:06.634004+00:00
1528693247459065857,.@speechboy71: Ron DeSantis represents a terrifying future for America — and by 2025 it could become a reality. https://t.co/nrZEekSCFm,MSNBC,2022-05-23 11:04:06+00:00,2022-05-23 11:07:06.634006+00:00
1528692720889479169,#BREAKING Greece blocks hundreds of migrants from crossing Aegean: Athens https://t.co/to4WCqttsy,AFP,2022-05-23 11:02:01+00:00,2022-05-23 11:07:06.634007+00:00
1528692843870670850,"A three-dose Covid-19 vaccine appears safe and produces strong immune response in children ages 6 months to 5 years, Pfizer says https://t.co/GdIPJImkzy",cnnbrk,2022-05-23 11:02:30+00:00,2022-05-23 11:07:06.634009+00:00
1528692989861761025,Liberia has a rising surf scene attracting tourists from all over the world -- and inspiring locals too. https://t.co/Mz6o8tkm6C,cnni,2022-05-23 11:03:05+00:00,2022-05-23 11:07:06.634012+00:00
1528693614200725505,Clearview AI Fined $9.4 Million In U.K. For Illegal Facial Recognition Database https://t.co/uosJKlpMXR https://t.co/ur8Q4Y0uvA,Forbes,2022-05-23 11:05:34+00:00,2022-05-23 11:07:06.634019+00:00
1528693436735430656,"BREAKING: Pfizer says its COVID vaccine for kids under 5 has met the goals of its clinical trial in terms of the immune response and safety, and plans to file three dose vaccine with the FDA this week.
@megtirrell reports: https://t.co/HCMFPbl31a",CNBC,2022-05-23 11:04:51+00:00,2022-05-23 11:07:06.634022+00:00
1528693642806067200,"More than 217 million Chinese aged 60 or above, or 82.3 percent of the country's senior citizens, have been fully vaccinated against #COVID19 https://t.co/A52dtm3883 https://t.co/xRPHLUCOPO",XHNews,2022-05-23 11:05:40+00:00,2022-05-23 11:07:06.634026+00:00
1528693791007248385,#Aperture24 A selection of the best daily press photos from Xinhua https://t.co/8SlyomxWnz https://t.co/51UF2qqWvy,XHNews,2022-05-23 11:06:16+00:00,2022-05-23 11:07:06.634029+00:00
1528692771237806080,"⚡️Poland terminates gas contract with Russia ahead of schedule. 

The contract, signed in 1993, was valid until the end of 2022, but Poland decided to terminate it earlier due to Russia’s war against Ukraine, Polish Climate and Environment Minister Anna Moskwa said on May 23.",KyivIndependent,2022-05-23 11:02:13+00:00,2022-05-23 11:07:06.634032+00:00
1528693548157116416,Minister condemns 'playing politics' briefing against Sue Gray ahead of partygate report https://t.co/29JqUHPdHa,SkyNews,2022-05-23 11:05:18+00:00,2022-05-23 11:07:06.634039+00:00
1528692598302511104,"""The spending levels in May through the first few weeks are up 10% from last May,"" says @bofa_news CEO Brian Moynihan. ""The notion that people are spending their stimulus down isn't happening yet."" https://t.co/BwKdY1q6bH",CNBC,2022-05-23 11:01:31+00:00,2022-05-23 11:07:06.634042+00:00
1528692817563992065,Train evacuated after fire on board Craven Arms railway station in Shropshire https://t.co/iWMRuHzblX,BBCNews,2022-05-23 11:02:24+00:00,2022-05-23 11:07:06.634046+00:00
1528693548157116416,Minister condemns 'playing politics' briefing against Sue Gray ahead of partygate report https://t.co/29JqUHPdHa,SkyNews,2022-05-23 11:05:18+00:00,2022-05-23 11:07:06.634048+00:00
1528693676549210112,"The confirmed #COVID19 cases in Africa totaled 11,596,707 as of Sunday evening, according to the Africa Centers for Disease Control and Prevention (Africa CDC) https://t.co/1V7gt8dMgZ https://t.co/spFDyIBOEX",XHNews,2022-05-23 11:05:48+00:00,2022-05-23 11:07:06.634049+00:00
1528693556994523136,Explainer: Do claims against Musk raise a legal issue for his companies and Twitter deal? https://t.co/nh5zSjOUmD https://t.co/fPwZq1Dbou,Reuters,2022-05-23 11:05:20+00:00,2022-05-23 11:07:06.634050+00:00
1528692771237806080,"⚡️Poland terminates gas contract with Russia ahead of schedule. 

The contract, signed in 1993, was valid until the end of 2022, but Poland decided to terminate it earlier due to Russia’s war against Ukraine, Polish Climate and Environment Minister Anna Moskwa said on May 23.",KyivIndependent,2022-05-23 11:02:13+00:00,2022-05-23 11:07:06.634053+00:00
1528692697879429120,Elements of the ruling elites have embraced a permanent war agenda with best mechanism for advancing that agenda the democrat party that has clearly become the party of war. The working class that is paying price for war in Ukraine has to say NO to war: https://t.co/zES9Kd7NW5,DillieHoliday,2022-05-23 11:01:55+00:00,2022-05-23 11:07:18.371919+00:00
1528692677377675264,"China is re-detaining Uyghurs for seemingly to 'silence their relatives abroad' despite Xinjiang officials having said in late 2019 that “vocational training centers” have been closed and people can move freely. 
https://t.co/7XpEei5ySX.",EerolaSami,2022-05-23 11:01:50+00:00,2022-05-23 11:07:18.576752+00:00
1528692516895219713,"Joe Biden says he’ll review Trump-era tariffs imposed on imports from China, extending a rally in the offshore yuan https://t.co/9aPFQTi8HO",BloombergAsia,2022-05-23 11:01:12+00:00,2022-05-23 11:07:18.887492+00:00
1528692707853406210,So many liberals don't know that the USSR broke up in 1991 and Russia hasn't been communist in 30 years.,ShreoshiB,2022-05-23 11:01:57+00:00,2022-05-23 11:07:18.997696+00:00
1528692914213294081,"Iowa #Farmers Dealing With Late Planting, Higher Input Costs, While Elevated Food Costs Put Focus on #China https://t.co/SwU02e2c6U",FarmPolicy,2022-05-23 11:02:47+00:00,2022-05-23 11:07:19.389336+00:00
1528692846366232577,"‘It Is China That Has Changed:’ Australia’s New PM Wants To ‘Send A Message To The World’ As He Rushes To Meet Biden, Other Quad Leaders In Tokyo https://t.co/0Hsmjrp7XD",LlcBillionaire,2022-05-23 11:02:30+00:00,2022-05-23 11:07:19.590813+00:00
1528692973130612736,"The war in Ukraine has displaced millions of children, upending their lives and disrupting their education. Yet, across Europe, international schools have given help – and hope – by opening their doors, classrooms and homes, as @kesterbrewin
discovers
https://t.co/gzOBeN6bA6",JohnGRoberts,2022-05-23 11:03:01+00:00,2022-05-23 11:07:19.752890+00:00
1528692943552487425,"HCSS is proud to announce the first member of our new Advisory Board:

@rjonesbos, former Dutch Ambassador to Russia and the United States.

Her extensive experience as a foreign policy practitioner will bring an invaluable contribution to HCSS strategy.

https://t.co/1DfGGz992i https://t.co/3nc8Ywxj44",HanTenBroeke,2022-05-23 11:02:54+00:00,2022-05-23 11:07:19.852472+00:00
1528692893489168384,"These are the indicative estimates of Russia’s combat losses as of May 23, according to the Armed Forces of Ukraine. https://t.co/V8NCfPorRJ",cotey_mary,2022-05-23 11:02:42+00:00,2022-05-23 11:07:20.025933+00:00
1528693213317451776,China's beleaguered carbon market is facing yet more delays as it struggles with issues including data fraud https://t.co/CLN2gL8zSE,climate,2022-05-23 11:03:58+00:00,2022-05-23 11:07:20.200191+00:00
1528693179930714113,"Many analysts and officials in London, DC and Canberra see Asia through lens of emerging pro and anti-China blocs, plus the neutrals. Singapore PM @leehsienloong argues in this Nikkei interview that that's the wrong way to understand the region https://t.co/CuOx8MyVSX https://t.co/ecoEWUR42U",JeromeTaylor,2022-05-23 11:03:50+00:00,2022-05-23 11:07:20.232309+00:00
1528693142899560448,"From @Reuters: ""#Taiwan's bid to take part in the World Health Organization's (WHO) annual assembly was rejected on Monday (May 23), the assembly said, in a decision that follows a campaign of diplomatic pressure from #China to isolate the island."" https://t.co/mjcXL29E5k",alphacentauriii,2022-05-23 11:03:41+00:00,2022-05-23 11:07:20.402778+00:00
1528693108082233344,JPMorgan cuts China growth forecast to 3.7% from 4.3% https://t.co/jnGqt4jolg https://t.co/BhaZNUrLWQ,ChannelNewsAsia,2022-05-23 11:03:33+00:00,2022-05-23 11:07:20.498595+00:00
1528693183710134272,"Dedication toward Indian culture is ever-growing, says PM Modi in Tokyo

#PMModiInJapan #PMModi 

PM Modi's Japan visit LIVE updates: https://t.co/wRmqjGa9E7 https://t.co/eL6fawAfc6",TimesNow,2022-05-23 11:03:51+00:00,2022-05-23 11:07:20.835804+00:00
1528693492033126405,"Nigeria has more people leaving in poverty than the combined number of people leaving in poverty in both China and India.

@PeterObi

#classicfm973TheDiscourse #TheDiscourse",bettertimemusic,2022-05-23 11:05:04+00:00,2022-05-23 11:07:20.989786+00:00
1528693486987333632,"China is re-detaining Uyghurs for seemingly to 'silence their relatives abroad' despite Xinjiang officials having said in late 2019 that “vocational training centers” have been closed and people can move freely. 
https://t.co/7XpEei5ySX.",eclectelectric,2022-05-23 11:05:03+00:00,2022-05-23 11:07:21.025777+00:00
1528693425532444672,"🇮🇳 Asia’s heatwave has already caused hours-long daily blackouts across India, Pakistan, Myanmar
🇺🇸 At least a dozen US states are at risk of outages this summer
🇨🇳 Power supplies will be tight in China and Japan
🇿🇦 South Africa is poised for a record year of power cuts",daisytobey,2022-05-23 11:04:49+00:00,2022-05-23 11:07:21.172828+00:00
1528693424530006016,Biden says US willing to respond 'militarily' in event of Chinese attack on Taiwan - CNN https://t.co/Qcq7PSsNvv via @GoogleNews,tcthom277,2022-05-23 11:04:48+00:00,2022-05-23 11:07:21.211585+00:00
1528693405857247232,"Of course, Murdoch didn’t need Wikileaks to know what the Howard Govt was up to. In July 2007, Defence Minister Brendan Nelson toured China and India repeatedly announcing it. Here he is in Beijing on 9 July 2007. https://t.co/ZhISDcQN6R",jackbollocks,2022-05-23 11:04:44+00:00,2022-05-23 11:07:21.337253+00:00
1528693393282551808,"Biden has nominally claimed to be wary of starting WWIII. Recently he's threatened Russia with regime change, and now threatens direct war with China. For a guy who is supposedly wary of WWIII, he's certainly been ""loose-lipped"" with unprecedented provocations of major powers",RedStarrTheo,2022-05-23 11:04:41+00:00,2022-05-23 11:07:21.370872+00:00
1528693790034350083,#StrategicAmbibuity President Biden said the U.S. would defend Taiwan militarily from aggression from China. https://t.co/iLnoe6y4bp via @WSJ,pstAsiatech,2022-05-23 11:06:15+00:00,2022-05-23 11:07:21.775147+00:00
1528693726335451136,"President Biden has announced an economic agreement with more than a dozen countries to counter China’s influence and reinforce global supply chains, officials say. https://t.co/BsyQXi1h4X",scheerenberger,2022-05-23 11:06:00+00:00,2022-05-23 11:07:22.004706+00:00
1528693790113865730,Biden: Russia has to pay a long term price for that in terms of the sanctions that have been imposed… https://t.co/Ne4HxvmEyU,JohnRya95081680,2022-05-23 11:06:15+00:00,2022-05-23 11:07:22.267456+00:00
1528695035285454848,Prehistoric Planet review – you’ll genuinely think you’re watching real dinosaurs https://t.co/AjDp7KJ6Ha,guardian,2022-05-23 11:11:12+00:00,2022-05-23 11:12:52.249999+00:00
1528695096069218311,"Boris Johnson defends his government's handling of cost of living crisis, but adds ""there is more that we're going to do... you'll just have to wait a little bit longer"" https://t.co/EXhQiGqGLV https://t.co/9npsYnBQ5Q",bpolitics,2022-05-23 11:11:27+00:00,2022-05-23 11:12:52.250008+00:00
1528694730678206470,"Manchester United announced on Monday that Steve McClaren and Mitchell van der Gaag had been appointed as assistant coaches to new manager Erik ten Hag
https://t.co/OzfDVblhdo
#AFPSports",AFP,2022-05-23 11:10:00+00:00,2022-05-23 11:12:52.250010+00:00
1528695084409143296,"Boris Johnson defends his government's handling of cost of living crisis, but adds ""there is more that we're going to do... you'll just have to wait a little bit longer"" https://t.co/EXhQiGqGLV https://t.co/9npsYnBQ5Q",business,2022-05-23 11:11:24+00:00,2022-05-23 11:12:52.250011+00:00
1528694503749693441,"Philippine presumptive President Ferdinand “Bongbong” Marcos Jr. said he wants to boost trade ties with the US instead of a “dependence” on aid, and signaled openness to join an economic initiative pushed by the US President https://t.co/UJC1d1HOgT",bpolitics,2022-05-23 11:09:06+00:00,2022-05-23 11:12:52.250013+00:00
1528694713661935617,Credit Suisse chairman denies reports of talks to replace CEO Gottstein https://t.co/GLHnoJClsX,CNBC,2022-05-23 11:09:56+00:00,2022-05-23 11:12:52.250016+00:00
1528694752446713856,"The United Nations’ human rights chief told diplomats her trip to Xinjiang this week wouldn’t be an “investigation,” in an apparent attempt to manage expectations of her landmark visit to China https://t.co/N4fLl2Rpen",business,2022-05-23 11:10:05+00:00,2022-05-23 11:12:52.250018+00:00
1528694826866196480,"For EV maker Rivian, delivery headache hits as market shuts down coffers https://t.co/taPwyrYdkj https://t.co/YZucpIRuz2",Reuters,2022-05-23 11:10:23+00:00,2022-05-23 11:12:52.250019+00:00
1528694762949292032,"""I'm really excited to be here...it is my HOME!"" 🤩

Erik ten hag gives his first press conference as new #MUFC boss 🔴 https://t.co/GtQgrs45JW",SkySportsNews,2022-05-23 11:10:07+00:00,2022-05-23 11:12:52.250023+00:00
1528694503749693441,"Philippine presumptive President Ferdinand “Bongbong” Marcos Jr. said he wants to boost trade ties with the US instead of a “dependence” on aid, and signaled openness to join an economic initiative pushed by the US President https://t.co/UJC1d1HOgT",bpolitics,2022-05-23 11:09:06+00:00,2022-05-23 11:12:52.250024+00:00
1528695149840289792,"Risky homemade baby formula recipes are going viral on social media, driven by desperate parents https://t.co/7P339gOKlE",business,2022-05-23 11:11:40+00:00,2022-05-23 11:12:52.250026+00:00
1528693975795871748,"Naomi Osaka was knocked out of the French Open in the first round on Monday, 12 months after controversially quitting the tournament
https://t.co/El1wYLHdgS
#AFPSports",AFP,2022-05-23 11:07:00+00:00,2022-05-23 11:12:52.250027+00:00
1528694249050480640,"Documents, imagery and witness accounts point to a heightened Russian presence in Mali, where the military government is locked in a bloody war with extremists. 

https://t.co/iDtilZTZtG",washingtonpost,2022-05-23 11:08:05+00:00,2022-05-23 11:12:52.250028+00:00
1528695046811308032,LIVE: New Manchester United manager Erik Ten Hag holds his first press conference https://t.co/Yo1h15HjHW,Reuters,2022-05-23 11:11:15+00:00,2022-05-23 11:12:52.250030+00:00
