id,screen_name,followers_count,score
49510088,tEconomics,26809,-1
462104542,chuckwoolery,585110,1
742792681026375680,BFT_Podcast,25095,1
631310817,MarkYoungTruth,92535,1
19860373,Peter_McCormack,5168,1
29459695,SydesJokes,188687,1
1153329011780665357,realkelvin07,8852,-1
283604227,AndyVermaut,30963,31
1652541,Reuters,25223362,23
1568858138,MonaSalama_,24790,2
3997870336,PrincessBibiRF_,10428,4
1977190638,debby_keller,6502,-1
1080452666038386688,EthicalRenewal,11656,2
779904919,SciteCito,4346,5
468851612,AdrblyFerocious,14119,-1
2502992592,LancelotLinkSpy,29196,1
1272522535163355140,CFCDUBois,211809,2
1192814057935519744,karimmubarak6,4541,1
1001663707045421058,eddsmitty,14544,2
1091799291406893056,Momo2clef,4527,1
1326564152291315713,MadridXtra,296612,-2
1099004002539356160,Emini_Sir_Kay,4443,-1
177137227,growingupinscot,5469,1
109673936,FortTiconderoga,2960,1
1419688307529818116,ATRightMovies,47767,1
340376505,GidgitVonLaRue,12854,1
555005172,USMission2ASEAN,42207,1
40721566,ronmc1,18750,1
1236011601611952130,DrNWillburger,22952,-1
297537439,Durotrigesdig,16509,-2
81741855,StevenBeschloss,223651,0
16169151,leeannkendall,2965,2
756668256249839616,atticesoterica,10628,25
1462548977367359490,KyivIndependent,2148674,63
341805227,tgclark56,6349,2
1352532322705428480,BleedGreenKP,7689,6
1007600532683415554,hotcitiesworld,3520,2
132043621,aditya_kondawar,77410,1
797761076595068928,HydWatch,6970,1
1908627954,JasonMBrodsky,25142,1
2149548484,ziasayzz,2858,2
2449645080,EMSC,40751,3
54621273,sandraguinaldo,512840,-1
38623068,gmanewsbreaking,1698029,-1
293063175,DilliDurAst,133062,2
129026706,ronpatz,6999,3
22793955,indiacom,25676,3
1019149974,MPTourism,599475,1
2300811721,GulfJobCareers,14098,1
2958934841,NYTAnon,5728,-1
62855667,InaReformina,74317,1
789327837727559680,CISFHQrs,571493,0
2650295678,moayush,308244,-1
1180102732520275968,shanaya_awan,20159,20
103334123,AmbassadorSadiq,24845,1
619050616,AyoCaesar,370849,1
19702547,SoozUK,84775,1
15012486,CBSNews,8636613,8
610042918,ShellHuch,2816,1
1003107003693137921,glennkirschner2,604357,3
21812983,ckblack,12366,1
816721144224940033,Rogde3383,3332,-1
27493883,joncoopertweets,981660,1
334423683,Crazygirlcandie,2653,-2
1519684505778507776,susanwiliam2022,33563,-1
90480218,RichardGrenell,855777,-1
74791200,lunartom,4232,-1
736905000593575936,cowards_are_us,10477,-7
1325577365175595013,Yohannes_T_M,6654,1
334624805,EINWarming,2713,-1
262219168,IAPonomarenko,1202528,-2
184732662,FrazerGoodwin,2915,0
1498345782,WG_innovation,9466,1
27860681,WorldBank,3653340,1
147393852,whereisdaz,27101,1
327246006,MarianSmedley,4084,2
1116275811609391106,PaulMainwood,17957,1
197662233,statsepi,26059,1
40778270,NSWHealth,335165,-1
1641475784,FairAusPol,2735,-1
112681761,HeartnSoulArt,7570,1
28785486,ABC,17504951,9
2963916915,Ageing_Better,24931,1
120750710,fud31,16394,2
191388674,EINForexNews,9271,1
26535725,whtimes,13076,1
33567090,SMKcampaigners,6925,1
1401963978109169665,Charles83230639,12616,3
233018450,wolftickler2000,3486,1
711750460932141056,cheryl_kernot,38309,2
21636145,Teapot_Lady,2750,-1
2949954744,SiyaKohi,12914,2
50262127,CICtweet,18092,1
2467791,washingtonpost,19210379,13
1222894323152195586,CGMeifangZhang,57242,3
893050282527125506,cma_chinese,13493,1
89785537,accessnow,59717,1
355241180,natynettle,3437,1
1360573050,TheLiberal_ie,16680,1
1854971202,82ndABNDiv,80333,1
453193691,Strike_Hold,7102,1
3165224928,AlpeshFuriya,9364,1
166600492,EINHumanRights,2751,1
73745737,sam_02140731,2909,1
36776407,RejoiceAmerica,16959,0
2930107533,DBRsbn,3467,-1
38612007,chaser,242129,1
324755908,bootsa22,6685,1
346939616,Catherine_Zen,2543,-1
2841193350,GruntledChalkie,6518,-1
4680273793,we_are_solomon,3235,1
874529792770670592,LHreports,10525,1
19658826,newscientist,4146249,0
1468323792,VeritasEver,4446,2
280406148,ChinaDailyAsia,27616,1
26809005,goal,4841049,2
139028953,oldmarcus,4612,1
1352238008527970304,LFCNews_365,6686,33
713993413,SkySportsPL,8372390,0
302677041,ItsSalahMate,30390,1
4333070596,lyndon_chaney,3241,-1
375005958,AnnBattle1,2807,-1
351784239,Haggis_UK,57243,0
41577599,nharris59,6893,2
5988062,TheEconomist,26673887,6
1088334553,Showbiz_IT,95367,1
19897138,IndiaToday,6050582,17
54473457,amitkumarz,11759,-1
348974190,UKHouseofLords,317845,2
1037732964279431169,LordSpeaker,14759,1
867617849208037377,okx,905741,-1
1351595492,jeffs_araujo35,20314,1
19834221,jrf_uk,175356,2
498047351,Welcome_Hudds,3452,2
172260109,SMEunited,4237,1
1013808600,JohnClke,10647,2
16753568,JonAston,3495,1
438704544,ZiadMDaoud,11164,1
2401262364,IikkaKorhonen,7113,2
1268910129640022016,aamil123,6563,4
746347445991374848,kakar_harsha,55986,2
1352244011419934722,IFENewsAgency,11499,2
932011810235891712,alexsalvinews,99769,1
3376824064,OptionsMike,76504,1
271074952,penottawa,6956,1
1148120993803595776,thouse_opinions,120704,-1
529232944,ibrahimjanab,7813,-1
79169144,horror06,31598,1
24920395,wjz,268156,3
45867342,best_emptynest,2803,1
51241574,AP,15835438,28
117781296,like4like_1,3225,1
19032473,9NEWS,480755,1
1496140009275015170,RANDOMFACTS2022,29327,2
2846809907,Tom___Scott,17564,-2
1264459209405579271,caz5697,2560,0
212445456,DrGJackBrown,145581,-3
16565240,sunshinek67,16022,2
832616065259614209,TheUSASingers,107838,1
328282429,brian_gilmore,6951,2
701774916920733696,thesiriusreport,55148,9
918813768418775040,Mott_Mason,3389,2
358663855,sheilaajjie,2909,1
906260839,iza_bonn,12487,2
1083920186116198402,Jeonjungkook_SG,46305,1
1265777020295929858,JJK_France,7475,1
242618658,AppSame,306411,-2
703014525126053888,jgus525,6733,2
243257226,PaulRaynorUK,2575,-1
